Type,Description,ICC,F,df1,df2,pval,CI95%,angle
ICC1,Single raters absolute,-0.04583409408771571,0.8246984130778527,14,45,0.6395310607648037,[-0.18  0.23],1MTA
ICC2,Single random raters,-0.03362419960548859,0.8637213632479632,14,42,0.6006376073088222,[-0.17  0.24],1MTA
ICC3,Single fixed raters,-0.035271341781612515,0.8637213632479632,14,42,0.6006376073088222,[-0.18  0.25],1MTA
ICC1k,Average raters absolute,-0.2125644770770264,0.8246984130778527,14,45,0.6395310607648037,[-1.63  0.54],1MTA
ICC2k,Average random raters,-0.14958591879739655,0.8637213632479632,14,42,0.6006376073088222,[-1.39  0.56],1MTA
ICC3k,Average fixed raters,-0.15778078735898177,0.8637213632479632,14,42,0.6006376073088222,[-1.54  0.57],1MTA

ICC1,Single raters absolute,0.6270369101356615,7.7249218721749635,14,45,6.31173698096815e-08,[0.39 0.83],5MTCA
ICC2,Single random raters,0.6326819306317731,9.24944089922334,14,42,8.868260586597274e-09,[0.39 0.83],5MTCA
ICC3,Single fixed raters,0.6734544839304776,9.24944089922334,14,42,8.868260586597274e-09,[0.45 0.86],5MTCA
ICC1k,Average raters absolute,0.870548852590732,7.7249218721749635,14,45,6.31173698096815e-08,[0.72 0.95],5MTCA
ICC2k,Average random raters,0.8732531865454061,9.24944089922334,14,42,8.868260586597274e-09,[0.72 0.95],5MTCA
ICC3k,Average fixed raters,0.8918853570831542,9.24944089922334,14,42,8.868260586597274e-09,[0.76 0.96],5MTCA

ICC1,Single raters absolute,0.8887675697964357,32.96073548586213,14,45,5.501619049833618e-19,[0.78 0.96],LL
ICC2,Single random raters,0.8889438294248865,34.955804987028024,14,42,1.3234056602742478e-18,[0.78 0.96],LL
ICC3,Single fixed raters,0.8946142756986168,34.955804987028024,14,42,1.3234056602742478e-18,[0.79 0.96],LL
ICC1k,Average raters absolute,0.9696608711771941,32.96073548586213,14,45,5.501619049833618e-19,[0.93 0.99],LL
ICC2k,Average random raters,0.9697133149068249,34.955804987028024,14,42,1.3234056602742478e-18,[0.93 0.99],LL
ICC3k,Average fixed raters,0.9713924482536993,34.955804987028024,14,42,1.3234056602742478e-18,[0.94 0.99],LL

ICC1,Single raters absolute,0.9198959311149975,46.935041448923165,14,45,4.1240785062938993e-22,[0.84 0.97],MA
ICC2,Single random raters,0.919834920236734,45.21663573252474,14,42,9.64331872321203e-21,[0.84 0.97],MA
ICC3,Single fixed raters,0.9170410805476048,45.21663573252474,14,42,9.64331872321203e-21,[0.83 0.97],MA
ICC1k,Average raters absolute,0.978693957241132,46.935041448923165,14,45,4.1240785062938993e-22,[0.95 0.99],MA
ICC2k,Average random raters,0.9786766915150488,45.21663573252474,14,42,9.64331872321203e-21,[0.95 0.99],MA
ICC3k,Average fixed raters,0.9778842458356385,45.21663573252474,14,42,9.64331872321203e-21,[0.95 0.99],MA

ICC1,Single raters absolute,0.3332573266482417,2.9993160178150027,14,45,0.0026108545400511354,[0.09 0.64],MCL
ICC2,Single random raters,0.3320572565894345,2.967331837875766,14,42,0.003225788789474706,[0.08 0.63],MCL
ICC3,Single fixed raters,0.32968366622227113,2.967331837875766,14,42,0.003225788789474706,[0.08 0.63],MCL
ICC1k,Average raters absolute,0.6665906513150627,2.9993160178150027,14,45,0.0026108545400511354,[0.28 0.87],MCL
ICC2k,Average random raters,0.6653881426806803,2.967331837875766,14,42,0.003225788789474706,[0.27 0.87],MCL
ICC3k,Average fixed raters,0.6629969094673707,2.967331837875766,14,42,0.003225788789474706,[0.26 0.87],MCL

ICC1,Single raters absolute,0.05200085226658753,1.2194130760177042,14,45,0.29535381270126826,[-0.12  0.36],ML
ICC2,Single random raters,0.05026162921735254,1.2100630815631388,14,42,0.3042120223508228,[-0.13  0.36],ML
ICC3,Single fixed raters,0.04989547127762875,1.2100630815631388,14,42,0.3042120223508228,[-0.13  0.36],ML
ICC1k,Average raters absolute,0.17993334689689575,1.2194130760177042,14,45,0.29535381270126826,[-0.78  0.69],ML
ICC2k,Average random raters,0.17470382086751648,1.2100630815631388,14,42,0.3042120223508228,[-0.82  0.69],ML
ICC3k,Average fixed raters,0.17359680231858893,1.2100630815631388,14,42,0.3042120223508228,[-0.81  0.69],ML

ICC1,Single raters absolute,0.9072561346017524,40.12953727800503,13,42,1.9590625803223274e-19,[0.81 0.96],MT_calA
ICC2,Single random raters,0.9071553451326942,38.33469985047618,13,39,4.1063306400718225e-18,[0.81 0.97],MT_calA
ICC3,Single fixed raters,0.9032290057876416,38.33469985047618,13,39,4.1063306400718225e-18,[0.8  0.96],MT_calA
ICC1k,Average raters absolute,0.9750806994590466,40.12953727800503,13,42,1.9590625803223274e-19,[0.94 0.99],MT_calA
ICC2k,Average random raters,0.9750515915007205,38.33469985047618,13,39,4.1063306400718225e-18,[0.94 0.99],MT_calA
ICC3k,Average fixed raters,0.9739139734000662,38.33469985047618,13,39,4.1063306400718225e-18,[0.94 0.99],MT_calA

ICC1,Single raters absolute,0.6405721495255248,8.128798157181368,14,45,3.0322568919566384e-08,[0.41 0.84],TCA
ICC2,Single random raters,0.6383966411880976,7.6186959487924675,14,42,1.3376794967047376e-07,[0.4  0.84],TCA
ICC3,Single fixed raters,0.6233059106984912,7.6186959487924675,14,42,1.3376794967047376e-07,[0.38 0.83],TCA
ICC1k,Average raters absolute,0.8769805842556747,8.128798157181368,14,45,3.0322568919566384e-08,[0.73 0.95],TCA
ICC2k,Average random raters,0.8759589020636489,7.6186959487924675,14,42,1.3376794967047376e-07,[0.73 0.95],TCA
ICC3k,Average fixed raters,0.8687439416507367,7.6186959487924675,14,42,1.3376794967047376e-07,[0.71 0.95],TCA

ICC1,Single raters absolute,0.7828444396850118,15.419975036319256,14,45,9.646158268650491e-13,[0.6  0.91],TUA
ICC2,Single random raters,0.784479438618868,17.924764715961548,14,42,2.364999170904281e-13,[0.6  0.91],TUA
ICC3,Single fixed raters,0.8088389497183318,17.924764715961548,14,42,2.364999170904281e-13,[0.64 0.92],TUA
ICC1k,Average raters absolute,0.9351490519508194,15.419975036319256,14,45,9.646158268650491e-13,[0.86 0.98],TUA
ICC2k,Average random raters,0.9357314669060554,17.924764715961548,14,42,2.364999170904281e-13,[0.86 0.98],TUA
ICC3k,Average fixed raters,0.944211262136706,17.924764715961548,14,42,2.364999170904281e-13,[0.88 0.98],TUA

ICC1,Single raters absolute,0.8921966879751032,34.104611397061824,14,45,2.7777912004168735e-19,[0.79 0.96],cal_PA
ICC2,Single random raters,0.892147705355405,33.53941934501238,14,42,2.8859780653275255e-18,[0.79 0.96],cal_PA
ICC3,Single fixed raters,0.8905291854194175,33.53941934501238,14,42,2.8859780653275255e-18,[0.78 0.96],cal_PA
ICC1k,Average raters absolute,0.9706784520029409,34.104611397061824,14,45,2.7777912004168735e-19,[0.94 0.99],cal_PA
ICC2k,Average random raters,0.9706639566451399,33.53941934501238,14,42,2.8859780653275255e-18,[0.94 0.99],cal_PA
ICC3k,Average fixed raters,0.970184337727698,33.53941934501238,14,42,2.8859780653275255e-18,[0.93 0.99],cal_PA

