Feature,MeanDiff,SD,MAD,Norm_SD,Norm_MAD,Norm_MeanDiff,CombinedScore
ML,-0.00931034482758623,0.14841533135980162,0.10448275862068963,5.3240757295566715e-05,0.0002562506862497457,0.0,0.0003094914435453124
LL,0.03827586206896553,0.14591137994231512,0.09965517241379312,0.0,0.0,0.002031438934488228,0.002031438934488228
MCL,-0.0913793103448276,0.323426953197622,0.1610344827586207,0.003774459634427058,0.0032580444394610807,0.0057557436477166475,0.012788247721604785
MT_calA,0.24793103448275755,2.7555766394592256,1.5955172413793088,0.05548851856082841,0.07940110549652897,0.016735187412688667,0.15162481147004606
cal_PA,0.2262068965517244,3.408689113784828,1.5827586206896553,0.06937545042757419,0.07872387154001187,0.015211608211822589,0.16331093017940868
MA,0.8753571428571428,3.5122342117466006,2.369642857142857,0.0715770983474297,0.12049207969799053,0.060738469468544096,0.25280764751396434
TUA,0.3775862068965515,4.700552905975925,3.005862068965517,0.09684395725987482,0.15426291312234824,0.02582829502420746,0.27693516540643054
5MTCA,-0.6017241379310343,4.363462773093863,3.3555172413793097,0.08967651230620252,0.17282278425500855,0.0415477629696521,0.3040470595308632
TCA,0.5175862068965515,6.965952495789994,4.5762068965517235,0.1450124596103873,0.237617600635302,0.035646916540900575,0.41827697678658987
1MTA,14.267931034482759,47.17663641364853,18.938965517241378,0.999999999787373,0.9999999994691949,0.9999999992986698,2.999999998555238
